========================================================
                 STATISTICAL SUMMARY                    
========================================================

--- Descriptive Statistics ---
                      price  freight_value  review_score  delivery_days  approx_profit_margin
Mean               120.6537        19.9903        4.0331        12.0077                0.6791
Median              74.9900        16.2600        5.0000        10.0000                0.7686
Mode                59.9000        15.1000        5.0000         7.0000                0.7050
Variance         33721.4195       249.8425        1.9213        89.3300                0.1224
Std Deviation      183.6339        15.8064        1.3861         9.4515                0.3499
Q1 (25th)           39.9000        13.0800        4.0000         6.0000                0.6070
Q2 (50th)           74.9900        16.2600        5.0000        10.0000                0.7686
Q3 (75th)          134.9000        21.1500        5.0000        15.0000                0.8660
IQR                 95.0000         8.0700        1.0000         9.0000                0.2590
90th Percentile    229.8000        34.0410        5.0000        22.0000                0.9213
95th Percentile    349.9000        45.1200        5.0000        29.0000                0.9465


--- Correlation Matrix (All Numeric Columns) ---
                            order_item_id   price  freight_value  customer_zip_code_prefix  product_name_lenght  product_description_lenght  product_photos_qty  product_weight_g  product_length_cm  product_height_cm  product_width_cm  seller_zip_code_prefix  total_payment_value  review_score    year   month  delivery_days  delivery_delay  revenue  approx_cost  approx_profit  approx_profit_margin  order_month  order_quarter  order_year
revenue                           -0.0605  1.0000         0.4142                    0.0425               0.0170                      0.1982              0.0518            0.3388             0.1458             0.2236            0.1725                  0.0864               0.7612       -0.0041 -0.0028  0.0019         0.0623         -0.0036   1.0000       0.4142         0.9967                0.2914       0.0019         0.0021     -0.0028
approx_cost                       -0.0294  0.4142         1.0000                    0.2257               0.0236                      0.0939              0.0223            0.6104             0.3091             0.3918            0.3238                  0.1502               0.3865       -0.0364  0.0333  0.0043         0.2146         -0.0402   0.4142       1.0000         0.3391               -0.0885       0.0043         0.0039      0.0333
approx_profit                     -0.0599  0.9967         0.3391                    0.0238               0.0155                      0.1965              0.0516            0.2959             0.1232             0.1962            0.1494                  0.0760               0.7524       -0.0010 -0.0058  0.0015         0.0453         -0.0001   0.9967       0.3391         1.0000                0.3091       0.0015         0.0018     -0.0058
approx_profit_margin              -0.1169  0.2914        -0.0885                   -0.1217               0.0573                      0.1225              0.0528            0.1041             0.0962             0.1070            0.1156                  0.0164               0.2064        0.0373 -0.0067  0.0114        -0.0667          0.0286   0.2914      -0.0885         0.3091                1.0000       0.0114         0.0112     -0.0067
order_month                       -0.0009  0.0019         0.0043                   -0.0063               0.0127                     -0.0157              0.0111           -0.0098            -0.0041             0.0124            0.0037                 -0.0134               0.0053        0.0312 -0.5537  1.0000        -0.0567          0.0274   0.0019       0.0043         0.0015                0.0114       1.0000         0.9699     -0.5537
order_quarter                      0.0025  0.0021         0.0039                   -0.0051               0.0141                     -0.0156              0.0136           -0.0087            -0.0018             0.0130            0.0048                 -0.0119               0.0062        0.0371 -0.5318  0.9699        -0.0695          0.0211   0.0021       0.0039         0.0018                0.0112       0.9699         1.0000     -0.5318
order_year                         0.0012 -0.0028         0.0333                   -0.0368               0.0220                      0.0389             -0.0063           -0.0248            -0.0519            -0.0291           -0.0584                 -0.0122              -0.0005       -0.0075  1.0000 -0.5537        -0.0514          0.0636  -0.0028       0.0333        -0.0058               -0.0067      -0.5537        -0.5318      1.0000


--- Covariance Matrix (All Numeric Columns) ---
                            order_item_id        price  freight_value  customer_zip_code_prefix  product_name_lenght  product_description_lenght  product_photos_qty  product_weight_g  product_length_cm  product_height_cm  product_width_cm  seller_zip_code_prefix  total_payment_value  review_score      year      month  delivery_days  delivery_delay      revenue  approx_cost  approx_profit  approx_profit_margin  order_month  order_quarter  order_year
